# Transcripción: chunk_006.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  it hard coded that is wrote out three explicitly.
[0:00:03]  So any time you reuse a value like this,
[0:00:05]  you know what we should probably do what we did last week,
[0:00:08]  which was to declare a variable perhaps at the very top of my program.
[0:00:12]  So it's super obvious what it is called maybe n and set that equal to three better yet.
[0:00:17]  What did I do last week to make sure that I can't screw up
[0:00:19]  and accidentally change that value?
[0:00:22]  Yeah, constant and the key word there was just const for short.
[0:00:25]  And now I have a global variable global in the sense that I can access it anywhere.
[0:00:30]  That is called n.
[0:00:31]  It's an int and it's always going to be three.
[0:00:34]  And now I can improve my main function a little bit by just changing the threes to end.
[0:00:39]  So now if I if a colleague realize,
[0:00:41]  oh wait a minute,
[0:00:42]  there's four tests this year,
[0:00:43]  you change into four,
[0:00:44]  recompile the code and it just works everywhere else except in my average function.
[0:00:51]  Let me change it back to three just for consistency.
[0:00:53]  This is not going to fly now to just sum up things like this for instance
[0:00:59]  and then return this divided by three.
[0:01:03]  Why will this not work now as I've defined it?
[0:01:10]  Yeah,
[0:01:17]  okay,
[0:01:18]  I might be in returning an integer value when I intend to return a float per this.
[0:01:22]  But I think I'm okay because I use that little trick where I made sure that at least one of the numbers in my arithmetic expression is in fact a floating point value.
[0:01:30]  And just by adding the point zero make sure that everything gets treated as a float.
[0:01:35]  So I think that's okay.
[0:01:39]  Sorry,
[0:01:39]  low ladder exactly.
[0:01:45]  So left hand is not talking to the right hand here in that my current implementation of average is still assuming that there's only going to be three tests or whatever.
[0:01:53]  But wait a minute,
[0:01:54]  I just went through the trouble of modifying this to be in generically and if I change this to four,
[0:02:01]  I'm not going to be happy perhaps with my average because now I'm going to ignore one of my test scores altogether.
[0:02:06]  So let me change this back to three and unfortunately if it's a variable now in and
[0:02:12]  therefore I have literally a variable number of scores,
[0:02:15]  how do I take the average of a variable number of things?
[0:02:20]  I mean,
[0:02:21]  what's my building block there?
[0:02:22]  Yeah,
[0:02:30]  yeah,
[0:02:30]  why don't I use a loop that goes through the array and adds things up as you go?
[0:02:34]  I mean,
[0:02:34]  kind of like grade school as you take the average on your calculator or paper pencil,
[0:02:38]  you just keep adding the numbers together and then you divide at the end by the total number of things.
[0:02:42]  So how can I do this?
[0:02:43]  Well,
[0:02:43]  let me change my implementation of average to first declared a variable called sum or whatever,
[0:02:49]  set it equal to zero.
[0:02:50]  So this is like me on my piece of paper getting ready to count or my calculator.
[0:02:53]  Of course,
[0:02:54]  when you turn it on typically defaults to zero and now let me do four int I equals zero.
[0:02:59]  I is less than a very I didn't do that and I is less than N I plus plus and now in here let me go ahead
[0:03:08]  and add to the current sum whatever is in the arrays location I and then down here I think I can just
[0:03:17]  return some divided by three point nope not 3.0 N perhaps here and actually I think I'm gonna get.
[0:03:27]  Let's make sure it's a float.
[0:03:28]  Let's use the type casting trick just to make sure I don't accidentally shortchange someone and throw away everything after the decimal point.
[0:03:35]  So it just escalated quickly right like average just got a lot more involved.
[0:03:38]  This is not just a single one line of code but now it's dynamic.
[0:03:41]  I initialize a variable called sum to zero in this loop.
[0:03:46]  I go through and just keep adding to sum which is initially zero.
[0:03:50]  Whatever is in array bracket I or specifically array bracket zero array bracket one array bracket two.
[0:03:56]  That gives me a total sum that I return divided by the total number of things.
[0:04:00]  Now this I can tighten slightly.
[0:04:02]  Recall that this is syntactic sugar for just adding things.
[0:04:05]  I can't use plus plus because that only literally adds one but I can use here plus equals questions on this implementation here.
[0:04:14]  Really the only takeaway or the most important takeaway is that this is the syntax for how you tell a function that it expects a whole array not a single variable like an inch or the like.
[0:04:26]  You literally use square brackets but you don't specify the length inside there.
[0:04:31]  Yeah what about the variable at the top good question what do I have it defined as at the top this variable and it must be an integer if you're going to use it inside of an array's square.
[0:04:52]  Brackets here so this line 10 notice no longer says three it says n and so whatever n is three or four or something else.
[0:05:01]  That's how many integers I will get in that array and it must be by definition of an array an integer that goes in those square brackets.
[0:05:08]  And here's a common source of confusion when you create the array that is declare it you use square brackets like this where you put the total number of elements you want.
[0:05:16]  When you subsequently use the array like I'm doing here you don't mention it again just like you don't mention it again and again once a variable exists you use the square brackets still but you don't use n you use zero or one or two or generically here I.
[0:05:31]  So when C was designed they sometimes use the same syntax for two different ideas or context.
[0:05:36]  Yeah good question do I have to include line six short answer yes because of the reason we ran into last week.
[0:05:49]  C or clang really reach your code top to bottom left to right and so if the compiler sees some mention of this function average on line 16 but you haven't told the compiler that average exists you're going to get an error on the screen.
[0:06:03]  So the conventional way to do that is you just copy paste the one first line of code from the function it's so called prototype or declaration.
[0:06:11]  Yeah really good question in a perfect segue is there a library you can use if you don't know the size of the array.
[0:06:21]  No and so if any of you have programmed in in Java or Python or other languages you can actually just ask the array like how big is it in C you and I the programmers have to remember it and so short answer no there's no function that will just automatically do this for us.
[0:06:37]  And in fact let me make a more subtle claim that it's fine to use global variables like this if they're really for configuration options why it's just convenient to put them at the very top of the file because everyone you.
[0:06:49]  Your colleagues your TAs are going to see them at the top of the code but you really shouldn't be using them everywhere throughout your code it'd be better if the average function itself were independent of that special variable.
[0:07:00]  So by that I mean this you know what I should really do if I really want to be well designed I should pass in the length of the array to the average function I should give the average function a second argument I'll call it length for instance but I could call it anything I want.
[0:07:17]  And so rather than putting in all the way down here at the bottom of my file let me just dynamically say length instead and this is a subtlety and no need to get too tripped up over this but this now is just an example of how the same function can take not one but two arguments but indeed in C you must remember yourself what the length of an array is you can't just ask the array via some syntax like you can those of you have programmed before in Java or Python.
[0:07:45]  Yeah good question would it be better designed to write a function that computes the size short answer can't do that in C as soon as you pass an array into a function in C you cannot figure out its size if it's a generic array like that of integers there are special cases that you can do that but in general no it's just not possible in C and if that's some frustration honestly this is why more modern languages add that feature why because it was really annoying as I'm alluding here to not having that information now just to make sure I didn't screw up anywhere let me compile.
[0:08:23]  This final version of scores suspense all good dot slash scores 72 73 33 and we're still back in business so this version is more complicated and as always we'll have this version on the course's website for reference but the point really is that arrays not only can be used as containers to store multiple values three or more in this case you can also even pass them around as arguments as such all right now besides that let's let's simplify for just a moment and consider now the world
[0:08:55]  of chars if we just got single bytes where where does this lead us and how does this get us ultimately to strings to solve problems like readability and cryptography in the light well here for instance are three lines of code out of context that simply store three chars and you can already see where this is going having three variables called C 1 C 2 C 3 is clearly going to end up being bad design because of all the silly redundancy here but notice I'm using single quotes like last week because these are single chars what is this look like in the computer's memory well it looks a little something like this
[0:09:25]  if we clear out the old memory C 1 C 2 C 3 probably will end up here maybe not literally in the top left hand corner this is just an artist rendition but C 1 C 2 C 3 will probably end up like that now what's really there it's really those same three numbers 72 73 33 but how many bits does a byte have just eight so if we were to look at the binary representation of these characters it would only be eight bits each that's enough to store
